Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate,
2026,2,4,1,3,2026-04-01,B6,B6,20409,B6,1,,,,,B6,20409,B6,N2016J,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11697,1169707,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,0559,0745,106.00,106.00,1.00,7,0001-0559,14.00,0759,1028,7.00,0854,1035,101.00,101.00,1.00,6,0800-0859,0.00,,0.00,175.00,170.00,149.00,1.00,1069.00,5,0.00,0.00,0.00,0.00,101.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,2,4,2026-04-02,F9,F9,20436,F9,685,,,,,F9,20436,F9,N323FR,685,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,11292,1129203,30325,DEN,"Denver, CO",CO,08,Colorado,82,0700,0654,-6.00,0.00,0.00,-1,0700-0759,22.00,0716,0836,16.00,0907,0852,-15.00,0.00,0.00,-1,0900-0959,0.00,,0.00,247.00,238.00,200.00,1.00,1476.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,3,5,2026-04-03,UA,UA_CODESHARE,19977,UA,4166,,,,,G7,20500,G7,,4166,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,0615,,,,,,0600-0659,,,,,0740,,,,,,0700-0759,1.00,C,0.00,145.00,,,1.00,654.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,4,6,2026-04-04,NK,NK,20416,NK,1,,,,,NK,20416,NK,N674NK,1,11697,1169707,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2055,2049,-6.00,0.00,0.00,-1,2000-2059,14.00,2103,2242,13.00,2317,2255,-22.00,0.00,0.00,-2,2300-2359,0.00,,0.00,202.00,186.00,159.00,1.00,1182.00,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,12,7,2026-04-12,UA,UA_CODESHARE,19977,UA,6322,,,,,YV,20378,YV,N88359,6322,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,13158,1315805,33158,MAF,"Midland/Odessa, TX",TX,48,Texas,74,1420,1418,-2.00,0.00,0.00,-1,1400-1459,17.00,1435,1551,2.00,1602,1553,-9.00,0.00,0.00,-1,1600-1659,0.00,,0.00,102.00,95.00,76.00,1.00,429.00,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,13,1,2026-04-13,UA,UA_CODESHARE,19977,UA,6326,,,,,YV,20378,YV,N87345,6326,14730,1473004,33044,SDF,"Louisville, KY",KY,21,Kentucky,52,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0915,0906,-9.00,0.00,0.00,-1,0900-0959,10.00,0916,1012,16.00,1053,1028,-25.00,0.00,0.00,-2,1000-1059,0.00,,0.00,158.00,142.00,116.00,1.00,788.00,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,14,2,2026-04-14,WN,WN,19393,WN,100,,,,,WN,19393,WN,N8525S,100,10140,1014006,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,1610,1605,-5.00,0.00,0.00,-1,1600-1659,9.00,1614,1834,4.00,1855,1838,-17.00,0.00,0.00,-2,1800-1859,0.00,,0.00,105.00,93.00,80.00,1.00,619.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,15,3,2026-04-15,UA,UA_CODESHARE,19977,UA,6331,,,,,YV,20378,YV,N87337,6331,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0608,0604,-4.00,0.00,0.00,-1,0600-0659,13.00,0617,0811,9.00,0846,0820,-26.00,0.00,0.00,-2,0800-0859,0.00,,0.00,218.00,196.00,174.00,1.00,1201.00,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,16,4,2026-04-16,UA,UA_CODESHARE,19977,UA,6334,,,,,YV,20378,YV,N85323,6334,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,13851,1385104,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1635,1628,-7.00,0.00,0.00,-1,1600-1659,15.00,1643,1744,7.00,1812,1751,-21.00,0.00,0.00,-2,1800-1859,0.00,,0.00,97.00,83.00,61.00,1.00,395.00,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,17,5,2026-04-17,UA,UA_CODESHARE,19977,UA,6345,,,,,YV,20378,YV,N89349,6345,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,10140,1014006,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,1155,1146,-9.00,0.00,0.00,-1,1100-1159,33.00,1219,1310,6.00,1321,1316,-5.00,0.00,0.00,-1,1300-1359,0.00,,0.00,146.00,150.00,111.00,1.00,744.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,18,6,2026-04-18,UA,UA_CODESHARE,19977,UA,6349,,,,,YV,20378,YV,N86347,6349,11481,1148102,31481,ECP,"Panama City, FL",FL,12,Florida,33,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0630,0623,-7.00,0.00,0.00,-1,0600-0659,13.00,0636,0808,7.00,0834,0815,-19.00,0.00,0.00,-2,0800-0859,0.00,,0.00,124.00,112.00,92.00,1.00,572.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,19,7,2026-04-19,UA,UA_CODESHARE,19977,UA,6351,,,,,YV,20378,YV,N88310,6351,13158,1315805,33158,MAF,"Midland/Odessa, TX",TX,48,Texas,74,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0500,0453,-7.00,0.00,0.00,-1,0001-0559,8.00,0501,0559,15.00,0634,0614,-20.00,0.00,0.00,-2,0600-0659,0.00,,0.00,94.00,81.00,58.00,1.00,429.00,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,20,1,2026-04-20,UA,UA_CODESHARE,19977,UA,6353,,,,,YV,20378,YV,N89315,6353,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12951,1295107,32951,LFT,"Lafayette, LA",LA,22,Louisiana,72,1955,1948,-7.00,0.00,0.00,-1,1900-1959,10.00,1958,2035,5.00,2106,2040,-26.00,0.00,0.00,-2,2100-2159,0.00,,0.00,71.00,52.00,37.00,1.00,201.00,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,21,2,2026-04-21,UA,UA_CODESHARE,19977,UA,6355,,,,,YV,20378,YV,N88335,6355,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,14685,1468503,34685,SAV,"Savannah, GA",GA,13,Georgia,34,1455,1448,-7.00,0.00,0.00,-1,1400-1459,11.00,1459,1751,7.00,1822,1758,-24.00,0.00,0.00,-2,1800-1859,0.00,,0.00,147.00,130.00,112.00,1.00,851.00,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,22,3,2026-04-22,UA,UA_CODESHARE,19977,UA,6366,,,,,YV,20378,YV,N88326,6366,14685,1468503,34685,SAV,"Savannah, GA",GA,13,Georgia,34,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,0950,0945,-5.00,0.00,0.00,-1,0900-0959,10.00,0955,1110,10.00,1137,1120,-17.00,0.00,0.00,-2,1100-1159,0.00,,0.00,107.00,95.00,75.00,1.00,516.00,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,23,4,2026-04-23,UA,UA_CODESHARE,19977,UA,6367,,,,,YV,20378,YV,N89357,6367,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1139,1130,-9.00,0.00,0.00,-1,1100-1159,8.00,1138,1243,7.00,1329,1250,-39.00,0.00,0.00,-2,1300-1359,0.00,,0.00,170.00,140.00,125.00,1.00,871.00,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,24,5,2026-04-24,G4,G4,20368,G4,1811,,,,,G4,20368,G4,233NV,1811,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,11697,1169707,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,1341,1340,-1.00,0.00,0.00,-1,1300-1359,13.00,1353,1616,46.00,1627,1702,35.00,35.00,1.00,2,1600-1659,0.00,,0.00,166.00,202.00,143.00,1.00,1041.00,5,0.00,0.00,35.00,0.00,0.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,25,6,2026-04-25,AA,AA_CODESHARE,19805,AA,5052,,,,,OH,20397,OH,N705PS,5052,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,11057,1105704,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1200,1338,98.00,98.00,1.00,6,1200-1259,23.00,1401,1517,9.00,1350,1526,96.00,96.00,1.00,6,1300-1359,0.00,,0.00,110.00,108.00,76.00,1.00,481.00,2,77.00,0.00,0.00,0.00,19.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,28,2,2026-04-28,DL,DL_CODESHARE,19790,DL,5453,,,,,9E,20363,9E,N379CA,5453,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,10397,1039708,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0633,0629,-4.00,0.00,0.00,-1,0600-0659,18.00,0647,1208,16.00,0853,1224,,,,,0800-0859,0.00,,1.00,140.00,,,1.00,692.00,3,,,,,,,,,1,1.00,355.00,211.00,0.00,AGS,10208,1020803,0851,56.00,51.00,1123,N379CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
2026,2,4,29,3,2026-04-29,AS,AS_CODESHARE,19930,AS,2269,,,,,QX,19687,QX,N629QX,2269,10140,1014006,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,14057,1405703,34057,PDX,"Portland, OR",OR,41,Oregon,92,1847,1849,2.00,2.00,0.00,0,1800-1859,14.00,1903,2046,3.00,2050,2049,-1.00,0.00,0.00,-1,2000-2059,0.00,,0.00,183.00,180.00,163.00,1.00,1111.00,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
